man,woman
abbot,abbess
actor,actress
actors,actresses
bachelor,spinster
baron,baroness
barons,baronesses
beau,belle
beaus,belles
boars,sows
boy,girl
boyfriend,girlfriend
boyfriends,girlfriends
boys,girls
brother,sister
brothers,sisters
businessman,businesswoman
businessmen,businesswomen
chairman,chairwoman
chairmen,chairwomen
congressman,congresswoman
congressmen,congresswomen
dad,mom
daddies,mommies
daddies,mummies
daddy,mommy
daddy,mummy
dads,moms
duke,duchess
dukes,duchesses
emperor,empress
emperors,empresses
father,mother
father-in-law,mother-in-law
fathers,mothers
fiance,fiancee
gentleman,lady
god,goddess
gods,goddesses
governor,governess
governor,matron
governors,governesses
govornors,matrons
grandfather,grandmother
grandfathers,grandmothers
grandpa,grandma
grandpas,grandmas
grandson,granddaughter
grandsons,granddaughters
groom,bride
grooms,brides
he,she
headmaster,headmistress
headmasters,headmistresses
heir,heiress
heirs,heiresses
hero,heroine
heroes,heroines
him,her
his,hers
host,hostess
hosts,hostesses
hunter,huntress
husband,wife
husbands,wives
king,queen
kings,queens
lad,lass
lads,lasses
landlord,landlady
landlords,landladies
lords,ladies
male,female
males,females
man,woman
manager,manageress
manservant,maidservant
masseur,masseuse
masters,mistresses
men,women
milkman,milkmaid
milkmen,milkmaids
millionaire,millionairess
monk,nun
monks,nuns
mr,mrs
murderer,murderess
nephew,niece
nephews,nieces
papa,mama
papas,mamas
poet,poetess
policeman,policewoman
policemen,policewomen
postman,postwoman
postmaster,postmistress
priest,priestess
priests,priestesses
prince,princess
princes,princesses
proprietor,proprietress
shepherd,shepherdess
sir,madam
sire,dam
sirs,madams
son,daughter
son-in-law,daughter-in-law
sons,daughters
sons-in-law,daughters-in-law
sorcerer,sorceress
stags,hinds
step-father,step-mother
step-son,step-daughter
stepfather,stepmother
stepfathers,stepmothers
stepson,stepdaughter
stepsons,stepdaughters
steward,stewardess
stewards,stewardesses
tutors,governesses
uncle,aunt
uncles,aunts
usher,usherette
waiter,waitress
waiters,waitresses
widower,widow
widowers,widows
wizard,witch
wizards,witches
